week,c,clojure,perl,python,raku
1,8,0,116,8,51
2,6,0,94,8,39
3,7,0,51,8,32
4,6,0,66,8,43
5,6,0,51,6,38
6,4,0,47,6,20
7,6,0,40,6,36
8,4,0,73,6,33
9,5,0,51,6,32
10,5,0,47,6,29
11,4,0,58,6,36
12,7,0,56,6,38
13,3,0,52,5,33
14,6,0,66,5,37
15,4,0,66,6,33
16,4,0,39,4,26
17,3,0,58,5,33
18,6,0,46,6,34
19,3,0,60,4,34
20,2,0,55,4,42
21,3,0,42,4,28
22,5,0,44,4,23
23,2,0,58,4,32
24,2,0,52,4,41
25,4,0,53,4,23
26,2,0,37,4,33
27,0,0,35,4,26
28,0,0,49,4,40
29,3,0,59,4,41
30,1,0,82,4,41
31,0,0,56,4,38
32,0,0,72,4,43
33,0,0,71,8,44
34,0,0,41,4,30
35,0,0,44,4,33
36,0,0,43,4,34
37,1,0,42,4,36
38,1,0,41,4,35
39,0,0,46,4,28
40,0,0,53,6,34
41,0,0,49,4,37
42,0,0,58,6,39
43,0,0,44,5,30
44,0,0,50,4,38
45,0,0,71,8,39
46,0,0,53,8,39
47,0,0,49,6,40
48,1,0,67,8,41
49,0,0,58,8,33
50,0,0,56,8,39
51,0,0,52,6,36
52,0,0,47,6,35
53,0,0,52,6,47
54,0,0,52,6,46
55,0,0,49,9,42
56,0,0,56,6,42
57,0,0,60,6,34
58,0,0,38,6,31
59,0,0,48,5,45
60,0,0,45,5,35
61,0,0,43,6,41
62,0,0,33,7,33
63,0,0,50,6,38
64,0,0,41,7,36
65,0,0,42,4,32
66,0,0,47,6,43
67,0,0,49,7,38
68,0,0,47,6,35
69,3,0,51,6,38
70,3,0,50,6,42
71,3,0,42,6,40
72,0,6,66,6,53
73,0,8,64,6,47
74,0,8,68,8,45
75,2,8,68,12,47
76,0,8,69,6,44
77,0,8,64,8,46
78,0,6,73,10,49
79,0,6,77,6,48
80,0,7,81,8,42
81,0,7,76,8,41
82,0,6,66,8,38
83,1,6,81,9,41
84,2,9,83,6,42
85,1,6,72,9,35
86,2,9,63,6,37
87,1,9,58,6,39
88,4,9,70,8,38
89,2,6,65,8,37
90,2,6,60,7,43
91,0,6,60,6,40
92,0,4,59,6,36
93,2,6,51,6,33
94,2,6,50,6,31
95,4,7,67,9,39
96,4,6,60,16,41
97,4,6,67,15,32
98,3,6,63,16,37
99,4,6,72,16,29
100,4,6,76,15,33
101,4,7,48,15,26
102,5,6,73,9,37
103,2,6,46,10,26
104,4,6,45,14,31
105,2,6,42,16,26
106,2,6,53,15,35
107,1,6,61,11,30
108,5,6,54,15,29
109,4,2,54,15,39
110,2,2,62,16,36
111,4,2,52,14,30
112,2,6,53,13,31
113,2,2,52,11,34
114,2,6,59,10,36
115,5,6,53,11,34
116,4,7,54,12,35
117,4,7,57,12,33
118,4,7,57,12,19
119,4,7,80,14,41
120,4,7,72,11,32
121,2,3,63,12,30
122,5,3,64,13,39
123,3,3,60,12,34
124,3,3,54,12,36
125,1,3,41,11,19
126,3,8,69,10,40
127,3,7,74,10,32
128,1,8,39,9,25
129,0,7,32,6,21
130,1,7,47,8,27
131,1,7,55,13,25
132,2,7,48,8,31
133,4,8,54,9,33
134,2,8,54,10,32
135,2,8,66,10,32
136,2,9,52,10,31
137,4,8,58,11,35
138,4,8,59,11,28
139,2,8,54,13,29
140,2,8,62,12,28
141,2,3,54,13,32
142,0,3,45,10,26
143,0,3,50,11,24
144,1,3,51,11,26
145,3,3,56,17,30
146,3,9,59,15,37
147,2,8,60,13,37
148,2,8,56,10,31
149,4,3,55,11,30
150,2,8,59,14,39
151,2,3,45,12,28
152,2,8,44,11,26
153,6,3,54,13,40
154,2,8,61,11,39
155,2,3,55,11,37
156,0,8,49,10,36
157,0,8,50,11,36
158,0,3,62,13,39
159,0,3,44,9,33
160,3,8,62,9,42
161,3,3,57,12,34
162,3,3,52,9,32
163,8,8,62,10,39
164,9,3,64,9,39
165,7,3,57,9,25
166,2,3,112,9,82
167,2,3,40,10,26
168,2,3,52,9,38
169,2,3,62,13,37
170,8,3,55,13,34
171,7,8,62,12,36
172,11,3,57,17,31
173,11,3,57,16,41
174,9,3,69,13,33
175,12,3,60,16,37
176,10,3,58,14,39
177,13,3,53,14,42
178,8,3,37,10,24
179,7,3,37,10,31
180,13,8,69,16,41
181,13,8,60,8,34
182,16,8,71,11,33
183,11,8,50,13,29
184,9,8,70,10,33
185,8,8,66,10,37
186,11,8,65,17,35
187,12,8,60,14,36
188,14,8,71,18,39
189,14,8,68,15,37
190,8,1,62,11,35
191,16,8,68,15,40
192,14,3,68,16,45
193,8,8,64,14,34
194,10,3,65,14,35
195,14,3,65,11,31
196,12,3,57,9,31
197,2,8,56,9,35
198,16,8,63,11,40
199,14,8,63,11,40
200,12,8,61,8,38
201,15,3,62,10,34
202,12,3,56,11,30
203,12,3,59,8,31
204,12,3,61,11,36
205,14,8,68,15,34
206,12,3,61,12,36
207,12,3,61,12,39
208,14,3,66,13,35
209,13,8,58,10,33
210,12,3,55,10,28
211,13,3,59,12,33
212,12,3,55,11,31
213,12,3,50,11,32
214,14,3,40,8,24
215,14,3,65,13,36
216,8,8,47,8,28
217,3,8,62,9,39
218,2,8,49,10,29
219,2,8,46,11,27
220,2,3,55,10,34
221,4,3,47,5,33
222,4,8,61,9,37
223,3,8,47,9,30
224,2,8,46,7,27
225,4,8,62,13,37
226,4,3,69,12,40
227,2,3,59,10,39
228,2,3,67,14,40
229,2,8,64,16,39
230,4,8,69,16,37
231,4,8,73,18,44
233,2,8,66,15,40
234,2,3,56,15,44
235,4,3,64,16,41
236,4,3,56,20,44
237,2,3,51,18,44
238,7,3,66,21,47
239,2,3,63,23,51
240,6,3,67,22,43
241,5,3,64,16,38
242,3,3,58,14,42
243,5,3,64,22,39
244,3,3,56,18,45
245,3,3,54,20,36
246,2,3,49,14,35
247,2,3,45,14,30
248,2,3,56,16,37
249,2,3,57,18,31
250,6,8,56,20,39
251,4,3,51,18,38
252,4,3,54,23,40
253,4,3,56,21,36
254,4,3,58,23,39
255,4,3,58,25,35
256,4,3,61,23,39
257,4,3,45,21,33
258,4,3,59,21,41
259,4,3,48,14,25
260,4,3,52,20,31
261,4,3,60,23,36
262,6,3,64,22,38
263,4,3,64,24,38
264,4,3,52,21,38
265,4,3,56,19,35
266,4,3,60,19,32
267,4,3,56,18,31
268,4,3,50,19,34
269,5,3,46,19,34
270,3,3,50,18,29
271,4,3,58,19,31
272,7,3,59,19,33
273,4,3,72,29,37
274,7,3,49,19,30
275,4,3,55,19,30
276,9,3,66,21,36
277,7,3,68,17,34
278,4,3,61,16,31
279,4,3,58,18,32
280,5,3,58,18,32
281,5,3,63,19,30
282,5,3,66,19,28
283,6,3,65,19,28
284,5,3,70,21,28
285,4,3,61,27,27
286,4,3,60,14,28
287,4,3,54,19,31
288,5,3,46,18,21
289,4,3,68,19,32
290,5,3,64,19,33
291,2,3,54,14,28
292,2,3,37,10,17
293,2,3,59,13,29
294,2,3,39,9,25
295,2,3,49,17,26
296,2,3,52,16,23
297,2,3,48,17,29
298,2,3,39,13,22
299,2,3,43,13,16
300,2,3,45,15,22
301,3,3,51,13,23
302,2,3,43,15,23
303,2,3,44,11,23
304,2,3,42,10,24
305,2,3,48,12,24
306,2,3,41,13,22
307,2,3,49,14,23
308,2,3,48,15,25
309,2,3,50,13,25
310,2,3,46,13,22
311,2,3,53,15,25
312,2,3,55,23,24
313,2,3,59,15,22
314,2,3,50,17,23
315,2,3,50,28,22
316,2,3,55,15,27
317,2,3,51,13,26
318,2,3,49,15,26
319,2,3,46,17,25
320,2,3,50,15,30
321,2,3,50,16,30
322,2,3,49,19,29
323,2,3,51,17,26
324,2,3,54,11,28
325,2,3,50,17,28
326,5,3,52,19,30
327,3,3,53,15,28
328,2,3,48,13,30
329,3,3,50,15,27
330,2,3,54,19,32
331,2,3,56,17,31
332,2,3,54,17,34
333,2,3,56,15,30
334,4,3,50,15,30
335,2,3,47,15,27
336,2,3,48,13,29
337,2,3,50,13,23
338,2,3,47,13,25
339,2,3,51,14,26
340,2,3,53,16,29
341,2,3,61,20,28
342,2,3,56,17,26
343,2,3,51,19,27
344,2,3,50,17,28
345,2,3,51,17,26
346,2,3,53,15,24
347,4,3,49,18,26
348,4,3,49,18,28
349,4,3,54,20,29
350,4,3,51,18,26
351,4,3,54,16,30
352,4,3,54,22,27
353,4,3,56,24,23
354,4,3,54,20,28
355,5,3,53,24,27
356,3,3,48,18,23
357,4,3,52,24,26
358,4,3,55,24,26
359,5,3,56,19,23
360,4,3,62,20,22
361,4,3,60,16,30
362,3,3,56,21,32
363,2,3,45,17,23
364,6,3,57,20,28
365,6,3,55,19,27
366,6,3,56,18,28
367,6,3,53,18,25
368,6,3,50,18,25
369,6,3,51,20,26
370,4,3,52,14,21
371,2,3,46,16,25
372,4,3,53,16,26
373,4,3,49,14,24
374,2,3,44,12,24
375,3,3,44,12,24
376,2,3,43,13,24
377,3,3,42,14,26
378,4,3,49,17,31
379,4,3,43,16,29
380,2,3,35,17,17
